Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
    0    -1.17    0.178     -200   1.2e+05        0        0         0       World initStep
    1    -1.17    0.178     -148   1.2e+05     0.01     52.2      52.2       World hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  1 ---------------
    :     -1.17     0.178      -148   0.00109                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
    2    -1.17    0.178     -113   1.2e+05   0.0061     34.8        87       World hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  2 ---------------
    :     -1.17     0.178      -113   0.00137                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
    3    -1.17    0.178     -2.1   1.2e+05   0.0207      111       198 sensor_telescope0_phys Transportation
    4    -1.17    0.178    -2.09   1.2e+05  0.00403     0.01       198 sensor_telescope0_phys StepLimiter
    5    -1.17    0.178    -2.08   1.2e+05  0.00582     0.01       198 sensor_telescope0_phys StepLimiter
    6    -1.17    0.178    -2.07   1.2e+05  0.00268     0.01       198 sensor_telescope0_phys StepLimiter
    7    -1.17    0.178    -2.06   1.2e+05  0.00319     0.01       198 sensor_telescope0_phys StepLimiter
    8    -1.17    0.178    -2.05   1.2e+05  0.00102     0.01       198 sensor_telescope0_phys StepLimiter
    9    -1.17    0.178    -2.04   1.2e+05  0.00288     0.01       198 sensor_telescope0_phys StepLimiter
   10    -1.17    0.178    -2.03   1.2e+05   0.0012     0.01       198 sensor_telescope0_phys StepLimiter
   11    -1.17    0.178    -2.02   1.2e+05  0.00215     0.01       198 sensor_telescope0_phys StepLimiter
   12    -1.17    0.178    -2.01   1.2e+05  0.00352     0.01       198 sensor_telescope0_phys StepLimiter
   13    -1.17    0.178       -2   1.2e+05  0.00174     0.01       198 sensor_telescope0_phys StepLimiter
   14    -1.17    0.178    -1.99   1.2e+05  0.00928     0.01       198 sensor_telescope0_phys StepLimiter
   15    -1.17    0.178    -1.98   1.2e+05  0.00301     0.01       198 sensor_telescope0_phys StepLimiter
   16    -1.17    0.178    -1.97   1.2e+05  0.00301     0.01       198 sensor_telescope0_phys StepLimiter
   17    -1.17    0.178    -1.96   1.2e+05  0.00523     0.01       198 sensor_telescope0_phys StepLimiter
   18    -1.17    0.178    -1.95   1.2e+05  0.00364     0.01       198 sensor_telescope0_phys StepLimiter
   19    -1.17    0.178    -1.94   1.2e+05 0.000927     0.01       198 sensor_telescope0_phys StepLimiter
   20    -1.17    0.178    -1.93   1.2e+05 0.000987     0.01       198 sensor_telescope0_phys StepLimiter
   21    -1.17    0.178    -1.92   1.2e+05  0.00217     0.01       198 sensor_telescope0_phys StepLimiter
   22    -1.17    0.178    -1.91   1.2e+05  0.00264     0.01       198 sensor_telescope0_phys StepLimiter
   23    -1.17    0.178     -1.9   1.2e+05  0.00162     0.01       198 sensor_telescope0_phys StepLimiter
   24    -1.17    0.178    -1.89   1.2e+05  0.00206     0.01       198 sensor_telescope0_phys StepLimiter
   25    -1.17    0.178    -1.89   1.2e+05  0.00103  0.00545       198 sensor_telescope0_phys hIoni
    :----- List of 2ndaries - #SpawnInStep=  1(Rest= 0,Along= 0,Post= 1), #SpawnTotal=  3 ---------------
    :     -1.17     0.178     -1.89     0.107                 e-
    :----------------------------------------------------------------- EndOf2ndaries Info ---------------
   26    -1.17    0.178    -1.88   1.2e+05  0.00395     0.01       198 sensor_telescope0_phys StepLimiter
   27    -1.17    0.178    -1.87   1.2e+05  0.00125     0.01       198 sensor_telescope0_phys StepLimiter
   28    -1.17    0.178    -1.86   1.2e+05  0.00291     0.01       198 sensor_telescope0_phys StepLimiter
   29    -1.17    0.178    -1.85   1.2e+05   0.0019     0.01       198 sensor_telescope0_phys StepLimiter
   30    -1.17    0.178    -1.84   1.2e+05  0.00344     0.01       198 sensor_telescope0_phys StepLimiter
   31    -1.17    0.178    -1.83   1.2e+05  0.00216     0.01       198 sensor_telescope0_phys StepLimiter
   32    -1.17    0.178    -1.82   1.2e+05  0.00289     0.01       198 sensor_telescope0_phys StepLimiter
   33    -1.17    0.178    -1.81   1.2e+05  0.00176     0.01       198 sensor_telescope0_phys StepLimiter
   34    -1.17    0.178     -1.8   1.2e+05  0.00212     0.01       198 sensor_telescope0_phys StepLimiter
   35    -1.17    0.178     -1.8   1.2e+05 6.75e-05  0.00143       198 bumps_wrapper_telescope0_phys Transportation
   36    -1.17    0.178    -1.78   1.2e+05    4e-06   0.0205       198 chip_telescope0_phys Transportation
